"a13bdb57ed91402992fe7d08012fa319",	zhm001	a00004
"bbb7d1969c2d48b7905091f25e816389",	zhm0001	zhm001
"f427371679454c8a8c1fae67e4739fc9",	tff0001	zhm0001
"a4aa8d3622ad402384a8643f6b66b13c",	tff0002	tff0001
"5b89c6b7265340d6a9dced409e813058",	tff0003	tff0002
"fd77550f7eb44236a8af159930d9a378",	tff0004	tff0003
"8645c9425dde4e69890d90958927eca7",	tff0005	tff0004
"612357d8ab10492da0e2907abe8f944e",	tba0001	tff0005
"fd9751ead7ca4072b115cc557e1bf4b1",	tba0002	tba0001
"0c82c4e288e843fc91a4fda52d9f4e11",	tba0003	tba0001
"4d4daa385ef84c05874e8f977c684f1a",	zhm0002	zhm0001
"1a05e5120f414386b10237b9d406a975",	zhm0003	zhm0002
"bd3138b7dee343e9a8958bca1d4fb1d1",	lcd8826	zhm0003
"f48aad99586f4ceeb3027b22458c326d",	lcd8827	lcd8826
"3f6f22bec56d40c48a88341dac38bbbf",	tba0004	tba0002
"0b3bb0ae5ac74c4b9c1f21c4679392c3",	lsp5363	lcd8826
"caa1e1f054fa493e916a97a30f928341",	tba0005	tba0004
"28590b00af5d47a9b8d987f0ca99fe4f",	lz0001	tba0004
"1fc62149ba2542f28dfd1001cff2a6f5",	lcw0001	lz0001
"d35712befc7d40329d9b69f30ad7a7ca",	wcx0001	lz0001
"d94c454c11074ea48e2a853d9aa69495",	ydd137248460	lcd8826
"5cf0130db28f48f8bc28a33614210976",	lwk0001	tba0002
"04bb98bbc64b4d5d9ad24989b53948f1",	lxj8889	lcw0001
"8444cba17b1a4e75b4c00f7821f64aea",	wcz0001	lcw0001
"a57e54f1918f4a2dadf2e0d2e3b6f9aa",	hsl0001	wcx0001
"7c868ed7ae7e442b9fb6039bd53d9800",	zhangjie020	lz0001
"b661804a64864bf68850969d2b4bf694",	zm88888	tba0003
"62dceebfba244e68a1d9c8ec45a1cfb1",	wxp88888	zm88888
"6d273242d8a74f22ad4ab41eeccd952a",	ykx88888	wxp88888
"a0cee663f4084bfc882a474e2d879cca",	lmt88888	zm88888
"d1cbca068220458a9bdd088df923ed61",	wzq0001	wcx0001
